ArcName,Volcano Name,GVP Volcano Number,latitude,longitude,,Mean SO2 flux [kt/y] ,SD ,Final SO2 flux (2005-2015) from combined space- and  and ground-based measurements ,SO2 flux uncertainty ,method,References,DOI,ktons,Erupted CO2 flux (ktons) using measured C/S,Erupted CO2 flux using predicted C/S,"C/S (molar) Aiuppa et al., 2017, 2018 and from plume MG",SD,"predicted C/S (molar) Aiuppa et al., 2019 ",SD ,"Predicted C/S based on group following Aiuppa et al., 2019 method",SD ,CO2 flux (kt/yr) based on measured C/S,"Predicted CO2 flux (kt/yr) using published predicted C/S (Aiuppa et al., 2019)",Predicted CO2 flux (kt/yr) using extrapolated predicted C/S,CO2 summary (kt/y),SD CO2 summary (kt/y)summary (kt/y),,,
,,,,,ktons/y,kt/y,,ktons/y,ktons/y,Space Based or Ground based,,,,,,,,,,,,,,,,,,,
Hokkaido/South Kurile,MEDVEZHIA (Kudryavy),290100,45.389,148.838,68.255,120,,68.3,76.9,SB,"Carn et al., 2017",10.1038/srep44095,,,,0.9,0.3,,,,,42.2,,,42.2,30.0,,,
Hokkaido,TOKACHI,285050,43.418,142.686,,87,45,49.3,25.6,SB,"Carn et al., 2017","10.1038/srep44095,  GSJ unpublished data",,,,0.4,0.1,,,,,13.6,,,13.6,9.6,,,
Hokkaido,AKAN(Meakan),285070,43.384,144.013,,3,5,3.0,0.9,GB,"Mori et al., 2016",,,,,,,,,1.2,0.8,,,2.5,2.5,1.8,,,
Hokkaido,SHIKOTSU(Tarumae),285040,42.688,141.38,,3,1,3.0,0.9,GB,"Mori et al., 2016",,,,,,,,,1.2,0.8,,,2.5,2.5,1.8,,,
Central_Honshu,AZUMA,283180,37.735,140.244,,23,29,23.0,0.3,GB,"Mori et al., 2016",,,,,1.3,,,,,,20.6,,,20.6,0.3,,,
Central_Honshu,ASAMA,283110,36.406,138.523,163.885,258,265,163.9,184.7,SB,"Carn et al., 2017","10.1038/srep44095, https://www.data.jma.go.jp/svd/vois/data/tokyo/306_Asamayama/306_So2emission.htm",,,,0.8,0.2,,,,,90.1,,,90.1,52.9,,,
Central_Honshu,ON-TAKE,283040,35.893,137.48,,,,,,,"Carn et al., 2017, Mori et al., 2016","10.1038/srep44095, ",1,,0.8,,,,,1.2,0.8,,,,,,,,
Izu,MIYAKE-JIMA,284040,34.094,139.526,371.57,514,399,371.6,418.8,SB,"Carn et al., 2017","10.1038/srep44095, https://www.data.jma.go.jp/svd/vois/data/tokyo/320_Miyakejima/320_So2emission.htm",,,,0.7,0.2,,,,,178.8,,,178.8,107.0,,,
Bonin,IWO-JIMA?IWO-TOU,,,,,,,, ,,"Carn et al., 2017",10.1038/srep44095,,,,0.4,0.1,,,,,,,,100.0,50.0,,,
South_Marianas,PAGAN,284170,18.13,145.8,212.795,,,212.8,239.8,SB,"Carn et al., 2017",10.1038/srep44095,,,,0.8,0.2,,,,,117.0,,,117.0,68.2,,,
